mode,gap_seconds,n_samples,gap_mae,gap_rmse,full_mae,full_rmse,psnr
base,0.5,13,0.34644184891994184,0.7263703770362414,0.007275569566095678,0.10503685689316346,20.77197287632869
base,1.0,36,0.43547823487056625,0.9320086240768433,0.016380147452259228,0.1801456252319945,15.504606485366821
base,2.0,49,0.5026311833335428,1.0788166662868188,0.03376416572160563,0.2788453982496748,11.374002086872958
base,3.0,55,0.5286951818249442,1.1327026258815418,0.05304630530828779,0.3584032226692547,9.105685312097723
base,4.0,59,0.48846077110807773,1.0927026322332478,0.06407371498012947,0.3957386628045874,8.322726071891138
base,5.0,28,0.5576257088354656,1.2227564688239778,0.08760293519922666,0.48469641911131994,6.622081824711391
point3_no_harm,0.5,13,0.4426678436306807,0.905418758208935,0.009321286235577785,0.13099682302429125,18.36741718879113
point3_no_harm,1.0,36,0.581277198675606,1.1053995374176238,0.021824608699211642,0.2132164097080628,13.796199003855387
point3_no_harm,2.0,49,0.6208491960958559,1.173701942575221,0.04160191624292305,0.3032197566056738,10.604878055806063
point3_no_harm,3.0,55,0.626535669781945,1.1935258767821573,0.06278411759571596,0.37742902799086137,8.661663142117588
point3_no_harm,4.0,59,0.5382903900186894,1.0807909662440671,0.07059192979487322,0.3914124495902304,8.32360612739951
point3_no_harm,5.0,28,0.5861468778124878,1.1646976045199804,0.09215738092150007,0.4618108187402998,6.866627999714443
point3_with_harm,0.5,13,0.33664843210807216,0.7077079059985968,0.007072339698564834,0.10231327981903003,21.019451141357422
point3_with_harm,1.0,36,0.37557008407182163,0.7969820515977012,0.014090652590514056,0.15384815571208796,16.73330940140618
point3_with_harm,2.0,49,0.4460266357173725,0.9282134789593366,0.02994104507094135,0.23983566539019954,12.661191395350865
point3_with_harm,3.0,55,0.5250702186064287,1.0650284268639305,0.05259586122225631,0.33676026084206323,9.655296689813786
point3_with_harm,4.0,59,0.47224102030366155,1.0070490736072346,0.06192245826882831,0.36466599925089693,8.952753026606674
point3_with_harm,5.0,28,0.5257841843579497,1.0946189207690102,0.08264766673424415,0.43395945323365076,7.4489564555031915
point3_fullgap_only,0.5,13,0.3366321325302124,0.7076782079843374,0.007071977615571366,0.1023092193958851,21.020809100224422
point3_fullgap_only,1.0,36,0.3778927040596803,0.8056504163477156,0.014179527086930143,0.1555578096045388,16.643873400158352
point3_fullgap_only,2.0,49,0.45667904280886357,0.9574781163614623,0.03065991261023648,0.2474202210349696,12.396493113770777
point3_fullgap_only,3.0,55,0.529604476148432,1.0786694786765358,0.05305504924194379,0.3410744905471802,9.547272456776012
point3_fullgap_only,4.0,59,0.4760555630013094,1.0134562748973652,0.062408871822438,0.36696370021771574,8.894901736307952
point3_fullgap_only,5.0,28,0.5332998558878899,1.1101430824824743,0.08383347679461751,0.4401268107550485,7.3301646028246195
point3_boundary_aware,0.5,13,0.3364529050886631,0.7071531105500001,0.007067871163599193,0.1022298764437437,21.02436329768254
point3_boundary_aware,1.0,36,0.3763870480987761,0.8003385836879412,0.014117340945328275,0.15448196335799164,16.695689254336887
point3_boundary_aware,2.0,49,0.44764423218308663,0.9345980107176061,0.03005056780743964,0.2414939376924719,12.602877169239278
point3_boundary_aware,3.0,55,0.5205014927820726,1.0624174432321027,0.052147797630591824,0.3359582071954554,9.672261732274835
point3_boundary_aware,4.0,59,0.4714766240726083,1.0046244344468844,0.06180246161707377,0.3637487868131217,8.966565471584515
point3_boundary_aware,5.0,28,0.5266771226056984,1.0987724044493266,0.08278902247548103,0.4356283353907721,7.419622387204852
