mode,gap_seconds,n_samples,gap_mae,gap_rmse,full_mae,full_rmse,psnr
enhanced_base_no_sc,0.5,42,0.2643365224912053,0.6053421568302881,0.004883541891883526,0.08232054646526064,22.070013999938965
enhanced_base_no_sc,0.75,69,0.2897036607930626,0.6663112044334412,0.0072200290210869,0.10522953539654828,19.862736743429434
enhanced_base_no_sc,1.0,111,0.3458935872123048,0.7471225583875502,0.012222466671520524,0.1404128071961102,17.14278484894349
enhanced_base_no_sc,1.5,134,0.3440032163217886,0.7723868342477884,0.01645800617259385,0.16891504340429805,15.580720830319533
enhanced_base_no_sc,1.75,82,0.324556266389242,0.7350467527058067,0.018906868721653775,0.17740847897238848,15.180710117991378
enhanced_base_no_sc,2.0,42,0.3440106965246655,0.7570993446168446,0.022205401877207414,0.19234967622018995,14.657397565387544
enhanced_base_with_sc,0.5,42,0.2643044569662639,0.6051997961032958,0.004882951954468375,0.08230115047522954,22.07231276375907
enhanced_base_with_sc,0.75,69,0.2897113706322684,0.6663087036298669,0.0072202341111403875,0.10522911972973657,19.862571882164996
enhanced_base_with_sc,1.0,111,0.3458981634797277,0.7471291336927328,0.012222628377646476,0.14041408809187175,17.142764890516126
enhanced_base_with_sc,1.5,134,0.34399972366752907,0.7723954551255525,0.016457827032001604,0.16891685728706532,15.580652123066917
enhanced_base_with_sc,1.75,82,0.3245621372650309,0.7350744597795533,0.01890720067000607,0.17741508382122692,15.18034003420574
enhanced_base_with_sc,2.0,42,0.344024610661325,0.7571790516376495,0.02220631018280983,0.19236995705536433,14.656422773996988
enhanced_sampler_no_sc,0.5,42,0.26446533469217165,0.6056834963105974,0.0048859315325639075,0.08236698282971269,22.06519521985735
enhanced_sampler_no_sc,0.75,69,0.2897686177621717,0.6665811244992242,0.007221640377858843,0.10527212296923001,19.858873450237773
enhanced_sampler_no_sc,1.0,111,0.3459230321753132,0.7472657330401309,0.012223541661090142,0.14043988159916423,17.141010267240507
enhanced_sampler_no_sc,1.5,134,0.34402983435499135,0.7725623027602239,0.016459261755278305,0.1689533482291805,15.57880608003531
enhanced_sampler_no_sc,1.75,82,0.32460525722765343,0.7352365353485433,0.018909706961272692,0.17745416911273468,15.178496953917712
enhanced_sampler_no_sc,2.0,42,0.3440390988474801,0.7573157350222269,0.02220721480747064,0.19240464305593855,14.654823643820626
enhanced_sampler_with_sc,0.5,42,0.2644318255285422,0.6055975818917865,0.004885294142046145,0.08235521791946321,22.066545123145694
enhanced_sampler_with_sc,0.75,69,0.2897850832213526,0.6665689953859302,0.007222066073260014,0.10527035696566969,19.859406457431074
enhanced_sampler_with_sc,1.0,111,0.3459373619910833,0.7472979576738031,0.012224072548518847,0.14044607934114095,17.140649606515694
enhanced_sampler_with_sc,1.5,134,0.3440338552220544,0.7725935618379223,0.016459447227474024,0.16896012920274664,15.57850785041923
enhanced_sampler_with_sc,1.75,82,0.32457934883309575,0.7352083699732292,0.018908224204873165,0.17744745886543903,15.178854965582126
enhanced_sampler_with_sc,2.0,42,0.34402767817179364,0.7573428650697073,0.02220648190095311,0.19241152384451457,14.654659770783924
